Date,Shift,Department,Machine_ID,Machine_Name,Rated_power_kW,Hours_Operated,Energy_kWh,Power_Factor,Voltage,Cost_Per_Unit,Energy_Cost,Status
10-05-2026,Morning,CNC,M013,Lathe-3,16,11,184,0.98,414,8,1472,Normal
26-05-2026,Morning,Testing,M007,Cooling-1,8,4,32,0.93,414,8,256,Normal
26-05-2026,Afternoon,Utilities,M009,Milling-1,25,6,150,0.9,410,8,1200,Normal
31-05-2026,Afternoon,CNC,M015,Compressor-3,16,9,144,0.96,413,8,1152,Normal
17-05-2026,Afternoon,CNC,M013,Lathe-3,16,9,151,0.97,417,8,1208,Normal
17-05-2026,Afternoon,Testing,M017,Cooling-3,10,11,110,0.94,410,8,880,Normal
12-05-2026,Afternoon,Testing,M016,Compressor-4,18,7,126,0.99,412,8,1008,Normal
23-05-2026,Afternoon,Testing,M006,Compressor-2,17,6,102,0.94,413,8,816,Normal
12-05-2026,Afternoon,Testing,M016,Compressor-4,18,9,162,0.94,413,8,1296,Normal
27-05-2026,Morning,Utilities,M009,Milling-1,25,5,200,0.95,413,8,2000,Normal
13-05-2026,Afternoon,CNC,M005,Compressor-1,15,6,90,0.87,401,8,720,Warning
15-05-2026,Morning,Manufacturing,M011,Boiler-3,21,12,252,0.89,398,8,2016,Warning
21-05-2026,Night,Utilities,M010,Milling-2,27,6,162,0.9,412,8,1296,Normal
17-05-2026,Night,Manufacturing,M012,Boiler-4,23,10,230,0.91,412,8,1840,Normal
09-05-2026,Afternoon,Manufacturing,M012,Boiler-4,23,10,230,0.8,366,8,1840,Critical
29-05-2026,Night,CNC,M005,Compressor-1,15,9,135,0.96,418,8,1080,Normal
05-05-2026,Afternoon,Manufacturing,M011,Boiler-3,21,4,84,0.94,414,8,672,Normal
30-05-2026,Night,CNC,M005,Compressor-1,15,7,105,0.97,417,8,840,Normal
15-05-2026,Morning,Utilities,M019,Milling-3,26,4,104,0.94,411,8,832,Normal
26-05-2026,Afternoon,Manufacturing,M011,Boiler-3,21,10,210,0.92,418,8,1680,Normal
15-05-2026,Afternoon,Maintenance,M008,Cooling-2,9,9,81,0.97,418,8,648,Normal
21-05-2026,Afternoon,Testing,M007,Cooling-1,8,12,96,0.89,395,8,768,Warning
11-05-2026,Afternoon,Manufacturing,M012,Boiler-4,23,10,230,0.97,418,8,1840,Normal
28-05-2026,Afternoon,Manufacturing,M001,Boiler-1,22,9,198,0.88,404,8,1584,Warning
31-05-2026,Afternoon,CNC,M005,Compressor-1,15,7,105,0.95,411,8,840,Normal
08-05-2026,Morning,Manufacturing,M012,Boiler-4,23,9,207,0.94,420,8,1656,Normal
03-05-2026,Night,Maintenance,M018,Cooling-4,11,12,132,0.94,416,8,1056,Normal
21-05-2026,Afternoon,Testing,M006,Compressor-2,17,9,153,0.96,419,8,1224,Normal
16-05-2026,Morning,CNC,M014,Lathe-4,20,11,228,0.96,419,8,1824,Normal
25-05-2026,Night,Utilities,M009,Milling-1,25,6,150,0.91,413,8,1200,Normal
04-05-2026,Morning,CNC,M014,Lathe-4,20,6,125,0.95,416,8,1000,Normal
05-05-2026,Morning,Testing,M007,Cooling-1,8,5,40,0.91,414,8,320,Normal
17-05-2026,Morning,CNC,M015,Compressor-3,16,7,112,0.98,413,8,896,Normal
14-05-2026,Morning,Utilities,M019,Milling-3,26,8,208,0.93,414,8,1664,Normal
04-05-2026,Afternoon,CNC,M015,Compressor-3,16,4,64,0.85,402,8,512,Warning
08-05-2026,Night,Utilities,M009,Milling-1,25,6,150,0.94,410,8,1200,Normal
27-05-2026,Morning,CNC,M003,Lathe-1,15,6,87,0.88,402,8,696,Warning
31-05-2026,Night,CNC,M003,Lathe-1,15,12,183,0.94,415,8,1464,Normal
21-05-2026,Night,Manufacturing,M011,Boiler-3,21,11,231,0.91,419,8,1848,Normal
05-05-2026,Afternoon,CNC,M004,Lathe-2,18,7,126,0.98,413,8,1008,Normal
29-05-2026,Afternoon,Testing,M016,Compressor-4,18,11,198,0.96,418,8,1584,Normal
16-05-2026,Morning,Manufacturing,M001,Boiler-1,22,6,132,0.87,405,8,1056,Warning
06-05-2026,Afternoon,Maintenance,M008,Cooling-2,9,4,36,0.9,411,8,288,Normal
18-05-2026,Night,CNC,M015,Compressor-3,16,10,160,0.89,408,8,1280,Warning
21-05-2026,Night,Maintenance,M018,Cooling-4,11,5,55,0.86,408,8,440,Warning
28-05-2026,Morning,Testing,M017,Cooling-3,10,8,80,0.88,407,8,640,Warning
25-05-2026,Morning,Manufacturing,M012,Boiler-4,23,4,92,0.87,402,8,736,Warning
05-05-2026,Morning,Maintenance,M008,Cooling-2,9,7,63,0.92,413,8,504,Normal
02-05-2026,Afternoon,Testing,M007,Cooling-1,8,12,96,0.91,420,8,768,Normal
25-05-2026,Night,Testing,M006,Compressor-2,17,10,170,0.91,420,8,1360,Normal
10-05-2026,Afternoon,CNC,M004,Lathe-2,18,9,147,0.96,414,8,1176,Normal
16-05-2026,Night,Manufacturing,M011,Boiler-3,21,10,210,0.87,400,8,1680,Warning
25-05-2026,Morning,Maintenance,M018,Cooling-4,11,11,121,0.99,419,8,968,Normal
14-05-2026,Afternoon,Testing,M017,Cooling-3,10,4,40,0.87,407,8,320,Warning
06-05-2026,Morning,Testing,M006,Compressor-2,17,12,204,0.88,400,8,1632,Warning
31-05-2026,Morning,Utilities,M019,Milling-3,26,5,130,0.93,410,8,1040,Normal
15-05-2026,Afternoon,Maintenance,M018,Cooling-4,11,12,132,0.88,406,8,1056,Warning
07-05-2026,Night,Testing,M006,Compressor-2,17,4,68,0.92,416,8,544,Normal
19-05-2026,Afternoon,Utilities,M009,Milling-1,25,9,180,0.91,410,8,2200,Normal
07-05-2026,Night,Utilities,M010,Milling-2,27,7,198,0.95,414,8,2160,Normal
12-05-2026,Afternoon,CNC,M004,Lathe-2,18,7,117,0.97,418,8,936,Normal
21-05-2026,Night,CNC,M014,Lathe-4,20,11,219,0.87,403,8,1752,Warning
08-05-2026,Morning,Manufacturing,M002,Boiler-2,24,6,144,0.97,415,8,1152,Normal
28-05-2026,Afternoon,Maintenance,M008,Cooling-2,9,10,90,0.91,420,8,720,Normal
19-05-2026,Morning,Manufacturing,M002,Boiler-2,24,4,96,0.94,410,8,768,Normal
20-05-2026,Night,CNC,M015,Compressor-3,16,7,112,0.96,416,8,896,Normal
26-05-2026,Night,Utilities,M010,Milling-2,27,5,135,0.94,413,8,1080,Normal
03-05-2026,Morning,CNC,M015,Compressor-3,16,8,128,0.92,417,8,1024,Normal
03-05-2026,Afternoon,Maintenance,M008,Cooling-2,9,9,81,0.96,414,8,648,Normal
06-05-2026,Morning,Utilities,M010,Milling-2,27,7,219,0.86,383,8,2592,Critical
24-05-2026,Morning,Maintenance,M008,Cooling-2,9,9,81,0.97,418,8,648,Normal
17-05-2026,Morning,Utilities,M019,Milling-3,26,9,175,0.85,401,8,1872,Warning
05-05-2026,Morning,Utilities,M010,Milling-2,27,4,108,0.94,410,8,864,Normal
16-05-2026,Afternoon,CNC,M004,Lathe-2,18,6,113,0.97,415,8,904,Normal
17-05-2026,Afternoon,Utilities,M009,Milling-1,25,9,211,0.91,414,8,2000,Normal
20-05-2026,Night,Maintenance,M018,Cooling-4,11,11,121,0.93,412,8,968,Normal
23-05-2026,Night,Utilities,M010,Milling-2,27,4,108,0.93,414,8,864,Normal
02-05-2026,Morning,CNC,M014,Lathe-4,20,11,211,0.95,413,8,1688,Normal
25-05-2026,Night,CNC,M014,Lathe-4,20,11,231,0.96,413,8,1848,Normal
30-05-2026,Night,CNC,M014,Lathe-4,20,4,76,0.94,413,8,608,Normal
06-05-2026,Morning,Utilities,M019,Milling-3,26,9,180,0.9,411,8,1872,Normal
16-05-2026,Afternoon,CNC,M005,Compressor-1,15,4,60,0.96,414,8,480,Normal
03-05-2026,Night,CNC,M005,Compressor-1,15,7,105,0.97,418,8,840,Normal
26-05-2026,Night,Testing,M006,Compressor-2,17,7,119,0.94,415,8,952,Normal
24-05-2026,Night,CNC,M014,Lathe-4,20,8,151,0.98,416,8,1208,Normal
16-05-2026,Morning,Testing,M017,Cooling-3,10,8,80,0.93,417,8,640,Normal
29-05-2026,Night,CNC,M014,Lathe-4,20,10,208,0.96,418,8,1664,Normal
15-05-2026,Morning,CNC,M014,Lathe-4,20,5,102,0.95,416,8,816,Normal
08-05-2026,Morning,Utilities,M009,Milling-1,25,7,211,0.88,405,8,1400,Warning
25-05-2026,Night,Manufacturing,M002,Boiler-2,24,10,240,0.93,413,8,1920,Normal
22-05-2026,Afternoon,Testing,M007,Cooling-1,8,4,32,0.98,411,8,256,Normal
19-05-2026,Morning,CNC,M014,Lathe-4,20,10,189,0.88,408,8,1512,Warning
31-05-2026,Afternoon,Testing,M007,Cooling-1,8,12,96,0.8,376,8,768,Critical
08-05-2026,Morning,Testing,M017,Cooling-3,10,12,120,0.86,395,8,960,Warning
11-05-2026,Morning,Maintenance,M018,Cooling-4,11,7,77,0.91,411,8,616,Normal
23-05-2026,Morning,Maintenance,M008,Cooling-2,9,8,72,0.97,414,8,576,Normal
16-05-2026,Night,CNC,M014,Lathe-4,20,6,121,0.98,417,8,968,Normal
05-05-2026,Afternoon,Maintenance,M008,Cooling-2,9,5,45,0.96,414,8,360,Normal
25-05-2026,Morning,Testing,M016,Compressor-4,18,11,198,0.95,418,8,1584,Normal
04-05-2026,Morning,Testing,M017,Cooling-3,10,5,50,0.97,411,8,400,Normal
17-05-2026,Afternoon,Manufacturing,M002,Boiler-2,24,12,288,0.9,410,8,2304,Normal
13-05-2026,Morning,Manufacturing,M011,Boiler-3,21,6,126,0.89,404,8,1008,Warning
13-05-2026,Afternoon,CNC,M005,Compressor-1,15,12,180,0.86,397,8,1440,Warning
02-05-2026,Night,Manufacturing,M002,Boiler-2,24,11,264,0.93,412,8,2112,Normal
20-05-2026,Afternoon,Manufacturing,M011,Boiler-3,21,8,168,0.98,411,8,1344,Normal
23-05-2026,Morning,Testing,M016,Compressor-4,18,7,126,0.91,419,8,1008,Normal
17-05-2026,Night,CNC,M014,Lathe-4,20,8,164,0.98,412,8,1312,Normal
18-05-2026,Morning,Testing,M017,Cooling-3,10,12,120,0.94,415,8,960,Normal
13-05-2026,Afternoon,CNC,M003,Lathe-1,15,11,160,0.93,419,8,1280,Normal
05-05-2026,Morning,CNC,M003,Lathe-1,15,9,125,0.95,416,8,1000,Normal
29-05-2026,Morning,Maintenance,M008,Cooling-2,9,7,63,0.92,418,8,504,Normal
14-05-2026,Afternoon,Manufacturing,M011,Boiler-3,21,8,168,0.88,402,8,1344,Warning
31-05-2026,Morning,Testing,M007,Cooling-1,8,7,56,0.91,417,8,448,Normal
11-05-2026,Afternoon,Manufacturing,M002,Boiler-2,24,10,240,0.82,379,8,1920,Critical
26-05-2026,Afternoon,Maintenance,M008,Cooling-2,9,10,90,0.98,414,8,720,Normal
01-05-2026,Night,Utilities,M019,Milling-3,26,6,156,0.95,411,8,1248,Normal
19-05-2026,Morning,Manufacturing,M011,Boiler-3,21,4,84,0.91,419,8,672,Normal
16-05-2026,Morning,Manufacturing,M001,Boiler-1,22,7,154,0.93,410,8,1232,Normal
10-05-2026,Night,Testing,M016,Compressor-4,18,9,162,0.93,419,8,1296,Normal
27-05-2026,Night,CNC,M013,Lathe-3,16,5,73,0.98,412,8,584,Normal
21-05-2026,Morning,Utilities,M009,Milling-1,25,8,175,0.93,411,8,2200,Normal
25-05-2026,Morning,Testing,M017,Cooling-3,10,9,90,0.96,417,8,720,Normal
10-05-2026,Night,CNC,M004,Lathe-2,18,11,193,0.92,413,8,1544,Normal
09-05-2026,Morning,CNC,M005,Compressor-1,15,7,105,0.83,374,8,840,Critical
14-05-2026,Morning,Testing,M006,Compressor-2,17,5,85,0.9,414,8,680,Normal
31-05-2026,Morning,Testing,M007,Cooling-1,8,11,88,0.9,418,8,704,Normal
01-05-2026,Morning,Maintenance,M008,Cooling-2,9,10,90,0.98,418,8,720,Normal
23-05-2026,Morning,Testing,M006,Compressor-2,17,4,68,0.92,417,8,544,Normal
15-05-2026,Morning,Testing,M016,Compressor-4,18,9,162,0.98,411,8,1296,Normal
04-05-2026,Night,CNC,M004,Lathe-2,18,6,111,0.82,387,8,888,Critical
10-05-2026,Night,CNC,M003,Lathe-1,15,10,147,0.96,413,8,1176,Normal
19-05-2026,Morning,Maintenance,M018,Cooling-4,11,4,44,0.92,419,8,352,Normal
05-05-2026,Afternoon,Maintenance,M018,Cooling-4,11,11,121,0.98,416,8,968,Normal
04-05-2026,Morning,Utilities,M009,Milling-1,25,9,180,0.94,415,8,1800,Normal
09-05-2026,Morning,Testing,M017,Cooling-3,10,8,80,0.94,418,8,640,Normal
14-05-2026,Afternoon,Testing,M016,Compressor-4,18,7,126,0.84,376,8,1008,Critical
18-05-2026,Morning,CNC,M014,Lathe-4,20,12,216,0.93,414,8,1728,Normal
10-05-2026,Morning,CNC,M015,Compressor-3,16,12,192,0.96,413,8,1536,Normal
11-05-2026,Afternoon,Manufacturing,M002,Boiler-2,24,11,264,0.96,416,8,2112,Normal
18-05-2026,Afternoon,Manufacturing,M002,Boiler-2,24,4,96,0.88,408,8,768,Warning
31-05-2026,Night,CNC,M004,Lathe-2,18,11,190,0.95,416,8,1520,Normal
16-05-2026,Afternoon,Manufacturing,M012,Boiler-4,23,9,207,0.94,414,8,1656,Normal
01-05-2026,Morning,Testing,M007,Cooling-1,8,11,88,0.9,411,8,704,Normal
08-05-2026,Morning,CNC,M013,Lathe-3,16,6,95,0.99,419,8,760,Normal
16-05-2026,Night,Testing,M016,Compressor-4,18,9,162,0.95,416,8,1296,Normal
22-05-2026,Night,CNC,M003,Lathe-1,15,5,75,0.95,413,8,600,Normal
29-05-2026,Morning,Utilities,M019,Milling-3,26,7,179,0.94,415,8,2080,Normal
06-05-2026,Morning,CNC,M003,Lathe-1,15,11,154,0.87,405,8,1232,Warning
18-05-2026,Morning,Manufacturing,M002,Boiler-2,24,11,264,0.73,361,8,2112,Critical
03-05-2026,Morning,Manufacturing,M001,Boiler-1,22,10,220,0.96,416,8,1760,Normal
19-05-2026,Afternoon,Utilities,M009,Milling-1,25,5,250,0.95,411,8,2000,Normal
13-05-2026,Night,CNC,M004,Lathe-2,18,9,152,0.95,414,8,1216,Normal
03-05-2026,Morning,Testing,M017,Cooling-3,10,10,100,0.96,414,8,800,Normal
10-05-2026,Night,Utilities,M010,Milling-2,27,7,189,0.9,412,8,1512,Normal
12-05-2026,Morning,Testing,M016,Compressor-4,18,6,108,0.96,418,8,864,Normal
03-05-2026,Afternoon,CNC,M014,Lathe-4,20,8,165,0.89,408,8,1320,Warning
12-05-2026,Afternoon,CNC,M004,Lathe-2,18,7,131,0.97,418,8,1048,Normal
02-05-2026,Afternoon,Utilities,M019,Milling-3,26,8,197,0.93,413,8,1664,Normal
05-05-2026,Morning,CNC,M014,Lathe-4,20,10,203,0.94,419,8,1624,Normal
13-05-2026,Night,Utilities,M019,Milling-3,26,9,188,0.92,413,8,1872,Normal
31-05-2026,Afternoon,Testing,M017,Cooling-3,10,6,60,0.92,419,8,480,Normal
14-05-2026,Afternoon,Maintenance,M018,Cooling-4,11,7,77,0.98,420,8,616,Normal
14-05-2026,Afternoon,Maintenance,M008,Cooling-2,9,5,45,0.94,417,8,360,Normal
19-05-2026,Morning,Testing,M016,Compressor-4,18,4,72,0.88,398,8,576,Warning
18-05-2026,Night,Testing,M006,Compressor-2,17,12,204,0.85,401,8,1632,Warning
16-05-2026,Night,Utilities,M009,Milling-1,25,4,209,0.88,408,8,800,Warning
09-05-2026,Afternoon,Testing,M007,Cooling-1,8,8,64,0.9,417,8,512,Normal
15-05-2026,Morning,Testing,M017,Cooling-3,10,10,100,0.86,408,8,800,Warning
10-05-2026,Afternoon,Testing,M006,Compressor-2,17,8,136,0.98,419,8,1088,Normal
16-05-2026,Morning,CNC,M014,Lathe-4,20,6,110,0.97,417,8,880,Normal
04-05-2026,Morning,CNC,M014,Lathe-4,20,4,77,0.96,417,8,616,Normal
22-05-2026,Night,Testing,M017,Cooling-3,10,9,90,0.92,419,8,720,Normal
23-05-2026,Afternoon,CNC,M013,Lathe-3,16,5,73,0.93,415,8,584,Normal
12-05-2026,Morning,Testing,M017,Cooling-3,10,6,60,0.97,420,8,480,Normal
09-05-2026,Morning,Testing,M006,Compressor-2,17,7,119,0.92,416,8,952,Normal
20-05-2026,Afternoon,Utilities,M009,Milling-1,25,4,100,0.92,411,8,800,Normal
16-05-2026,Night,Testing,M016,Compressor-4,18,7,126,0.98,414,8,1008,Normal
19-05-2026,Afternoon,Testing,M006,Compressor-2,17,11,187,0.92,415,8,1496,Normal
19-05-2026,Afternoon,CNC,M005,Compressor-1,15,8,120,0.95,413,8,960,Normal
14-05-2026,Morning,CNC,M014,Lathe-4,20,10,202,0.95,412,8,1616,Normal
18-05-2026,Night,Utilities,M019,Milling-3,26,11,188,0.97,414,8,2288,Normal
22-05-2026,Afternoon,Testing,M006,Compressor-2,17,11,187,0.93,419,8,1496,Normal
21-05-2026,Night,Utilities,M019,Milling-3,26,8,187,0.94,409,8,2080,Normal
06-05-2026,Night,CNC,M013,Lathe-3,16,8,131,0.87,399,8,1048,Warning
10-05-2026,Night,Utilities,M019,Milling-3,26,9,156,0.95,406,8,1872,Normal
02-05-2026,Morning,CNC,M003,Lathe-1,15,5,69,0.95,413,8,552,Normal
16-05-2026,Afternoon,CNC,M004,Lathe-2,18,5,89,0.86,406,8,712,Warning
23-05-2026,Afternoon,Maintenance,M008,Cooling-2,9,4,36,0.96,411,8,288,Normal
16-05-2026,Afternoon,Maintenance,M008,Cooling-2,9,4,36,0.88,402,8,288,Warning
05-05-2026,Afternoon,Utilities,M019,Milling-3,26,6,156,0.91,410,8,1248,Normal
22-05-2026,Afternoon,Manufacturing,M001,Boiler-1,22,9,198,0.88,409,8,1584,Warning
12-05-2026,Morning,CNC,M004,Lathe-2,18,4,70,0.94,415,8,560,Normal
23-05-2026,Night,CNC,M015,Compressor-3,16,5,80,0.92,420,8,640,Normal
01-05-2026,Night,Manufacturing,M011,Boiler-3,21,12,252,0.91,418,8,2016,Normal
30-05-2026,Afternoon,CNC,M013,Lathe-3,16,4,64,0.96,412,8,512,Normal
04-05-2026,Afternoon,Maintenance,M008,Cooling-2,9,7,63,0.9,411,8,504,Normal
10-05-2026,Morning,Testing,M017,Cooling-3,10,9,90,0.9,411,8,720,Normal
01-05-2026,Afternoon,Utilities,M009,Milling-1,25,7,175,0.94,413,8,1400,Normal
18-05-2026,Morning,Manufacturing,M001,Boiler-1,22,5,110,0.9,417,8,880,Normal
06-05-2026,Afternoon,Manufacturing,M001,Boiler-1,22,9,198,0.9,416,8,1584,Normal
15-05-2026,Night,Utilities,M009,Milling-1,25,8,200,0.94,415,8,1600,Normal
31-05-2026,Afternoon,CNC,M003,Lathe-1,15,6,83,0.98,415,8,664,Normal
21-05-2026,Night,Manufacturing,M001,Boiler-1,22,5,110,0.94,420,8,880,Normal
08-05-2026,Morning,Testing,M017,Cooling-3,10,10,100,0.94,417,8,800,Normal
22-05-2026,Morning,Testing,M006,Compressor-2,17,5,85,0.97,420,8,680,Normal
06-05-2026,Morning,CNC,M013,Lathe-3,16,9,137,0.95,414,8,1096,Normal
19-05-2026,Night,Utilities,M010,Milling-2,27,7,165,0.93,415,8,2376,Normal
23-05-2026,Night,CNC,M015,Compressor-3,16,9,144,0.93,417,8,1152,Normal
29-05-2026,Morning,Manufacturing,M001,Boiler-1,22,4,88,0.98,415,8,704,Normal
13-05-2026,Night,CNC,M014,Lathe-4,20,11,205,0.97,415,8,1640,Normal
08-05-2026,Morning,Manufacturing,M011,Boiler-3,21,11,231,0.95,417,8,1848,Normal
11-05-2026,Morning,CNC,M014,Lathe-4,20,11,224,0.97,419,8,1792,Normal
26-05-2026,Afternoon,Utilities,M019,Milling-3,26,4,210,0.89,401,8,832,Warning
18-05-2026,Afternoon,Utilities,M010,Milling-2,27,6,162,0.92,411,8,1296,Normal
25-05-2026,Morning,CNC,M013,Lathe-3,16,4,66,0.97,413,8,528,Normal
20-05-2026,Morning,Maintenance,M008,Cooling-2,9,9,81,0.92,415,8,648,Normal
07-05-2026,Morning,Utilities,M010,Milling-2,27,10,170,0.95,412,8,2160,Normal
22-05-2026,Morning,Testing,M016,Compressor-4,18,8,144,0.98,410,8,1152,Normal
07-05-2026,Morning,Utilities,M019,Milling-3,26,8,145,0.95,412,8,1664,Normal
09-05-2026,Morning,Manufacturing,M001,Boiler-1,22,11,242,0.98,416,8,1936,Normal
04-05-2026,Night,Utilities,M009,Milling-1,25,7,175,0.93,412,8,1400,Normal
04-05-2026,Night,CNC,M013,Lathe-3,16,11,170,0.94,419,8,1360,Normal
11-05-2026,Night,Testing,M007,Cooling-1,8,9,72,0.86,409,8,576,Warning
26-05-2026,Morning,CNC,M015,Compressor-3,16,12,192,0.93,419,8,1536,Normal
20-05-2026,Night,Maintenance,M008,Cooling-2,9,4,36,0.96,414,8,288,Normal
18-05-2026,Night,Utilities,M009,Milling-1,25,6,150,0.92,412,8,1200,Normal
12-05-2026,Afternoon,Manufacturing,M001,Boiler-1,22,11,242,0.92,412,8,1936,Normal
19-05-2026,Night,CNC,M005,Compressor-1,15,6,90,0.94,410,8,720,Normal
13-05-2026,Morning,Manufacturing,M002,Boiler-2,24,5,120,0.95,411,8,960,Normal
19-05-2026,Morning,Testing,M017,Cooling-3,10,8,80,0.97,414,8,640,Normal
01-05-2026,Night,CNC,M003,Lathe-1,15,8,121,0.88,407,8,968,Warning
11-05-2026,Morning,Testing,M006,Compressor-2,17,10,170,0.99,413,8,1360,Normal
17-05-2026,Morning,Manufacturing,M001,Boiler-1,22,8,176,0.96,415,8,1408,Normal
10-05-2026,Night,CNC,M013,Lathe-3,16,10,156,0.89,407,8,1248,Warning
31-05-2026,Afternoon,Utilities,M019,Milling-3,26,6,156,0.91,415,8,1248,Normal
19-05-2026,Afternoon,Maintenance,M018,Cooling-4,11,8,88,0.86,403,8,704,Warning
23-05-2026,Afternoon,Testing,M016,Compressor-4,18,7,126,0.93,420,8,1008,Normal
03-05-2026,Afternoon,CNC,M013,Lathe-3,16,7,109,0.88,398,8,872,Warning
26-05-2026,Afternoon,Testing,M006,Compressor-2,17,8,136,0.88,398,8,1088,Warning
02-05-2026,Morning,Utilities,M019,Milling-3,26,6,112,0.95,411,8,2496,Normal
10-05-2026,Morning,Testing,M006,Compressor-2,17,9,153,0.88,408,8,1224,Warning
20-05-2026,Morning,Maintenance,M018,Cooling-4,11,10,110,0.92,413,8,880,Normal
28-05-2026,Morning,Manufacturing,M001,Boiler-1,22,6,132,0.85,409,8,1056,Warning
25-05-2026,Night,CNC,M014,Lathe-4,20,11,208,0.97,415,8,1664,Normal
05-05-2026,Morning,Manufacturing,M002,Boiler-2,24,4,96,0.97,415,8,768,Normal
03-05-2026,Night,CNC,M005,Compressor-1,15,11,165,0.93,419,8,1320,Normal
13-05-2026,Morning,CNC,M013,Lathe-3,16,12,194,0.94,418,8,1552,Normal
24-05-2026,Night,Testing,M006,Compressor-2,17,6,102,0.91,410,8,816,Normal
25-05-2026,Night,CNC,M005,Compressor-1,15,8,120,0.98,412,8,960,Normal
06-05-2026,Morning,Testing,M017,Cooling-3,10,11,110,0.95,412,8,880,Normal
06-05-2026,Afternoon,Utilities,M009,Milling-1,25,9,194,0.93,412,8,1800,Normal
18-05-2026,Morning,Maintenance,M018,Cooling-4,11,4,44,0.85,397,8,352,Warning
16-05-2026,Afternoon,CNC,M004,Lathe-2,18,12,204,0.93,414,8,1632,Normal
23-05-2026,Morning,Utilities,M010,Milling-2,27,4,108,0.93,414,8,864,Normal
04-05-2026,Morning,CNC,M003,Lathe-1,15,9,141,0.97,417,8,1128,Normal
28-05-2026,Afternoon,Utilities,M019,Milling-3,26,7,182,0.96,413,8,1456,Normal
28-05-2026,Afternoon,Maintenance,M018,Cooling-4,11,12,132,0.93,412,8,1056,Normal
19-05-2026,Afternoon,Testing,M006,Compressor-2,17,9,153,0.95,416,8,1224,Normal
26-05-2026,Night,CNC,M004,Lathe-2,18,4,67,0.92,415,8,536,Normal
28-05-2026,Morning,Maintenance,M018,Cooling-4,11,10,110,0.98,414,8,880,Normal
25-05-2026,Morning,Maintenance,M018,Cooling-4,11,9,99,0.95,413,8,792,Normal
15-05-2026,Afternoon,Testing,M017,Cooling-3,10,9,90,0.91,412,8,720,Normal
22-05-2026,Night,CNC,M004,Lathe-2,18,4,71,0.94,413,8,568,Normal
05-05-2026,Morning,Utilities,M009,Milling-1,25,5,125,0.92,416,8,1000,Normal
19-05-2026,Afternoon,Manufacturing,M011,Boiler-3,21,9,189,0.92,420,8,1512,Normal
25-05-2026,Night,Testing,M007,Cooling-1,8,5,40,0.93,420,8,320,Normal
28-05-2026,Morning,Manufacturing,M012,Boiler-4,23,8,184,0.89,400,8,1472,Warning
26-05-2026,Night,Manufacturing,M011,Boiler-3,21,12,252,0.95,413,8,2016,Normal
13-05-2026,Morning,Maintenance,M008,Cooling-2,9,9,81,0.98,411,8,648,Normal
